Value,Date
93.75,2023-03-01
372.01,2023-03-08
387.47,2023-03-15
418.38,2023-03-22
294.71,2023-03-29
279.26,2023-04-05
248.34,2023-04-12
232.88,2023-04-19
248.34,2023-04-26
325.63,2023-05-03
294.71,2023-05-10
341.09,2023-05-17
232.88,2023-05-24
665.72,2023-05-31
1361.37,2023-06-07
758.48,2023-06-14
372.01,2023-06-21
232.88,2023-06-28
310.17,2023-07-05
217.42,2023-07-12
248.34,2023-07-19
294.71,2023-07-26
263.8,2023-08-02
325.63,2023-08-09
325.63,2023-08-16
372.01,2023-08-23
480.22,2023-08-30
495.68,2023-09-06
866.69,2023-09-13
913.07,2023-09-20
1021.28,2023-09-27
2087.93,2023-10-04
1438.66,2023-10-11
2211.6,2023-10-18
2551.7,2023-10-25
2412.57,2023-11-02
2860.87,2023-11-09
2706.28,2023-11-16
3000.0,2023-11-23
1624.17,2023-11-30
1144.95,2023-12-07
913.07,2023-12-14
1747.84,2023-12-21
1655.09,2023-12-28
1500.5,2024-01-04
1222.24,2024-01-11
1160.41,2024-01-18
897.61,2024-01-25
773.94,2024-02-01
727.56,2024-02-08
804.85,2024-02-15
1639.63,2024-02-22
650.27,2024-02-29
1593.25,2024-03-07
696.64,2024-03-14
449.3,2024-03-21
495.68,2024-03-28
433.84,2024-04-04
542.05,2024-04-11
341.09,2024-04-18
341.09,2024-04-25
542.05,2024-05-02
511.14,2024-05-09
294.71,2024-05-16
356.55,2024-05-23
248.34,2024-05-30
310.17,2024-06-06
325.63,2024-06-13
928.52,2024-06-20
263.8,2024-06-27
387.47,2024-07-05
511.14,2024-07-12
294.71,2024-07-19
665.72,2024-07-26
325.63,2024-08-02
418.38,2024-08-09
325.63,2024-08-16
418.38,2024-08-23
665.72,2024-08-30
882.15,2024-09-06
588.43,2024-09-13
1763.3,2024-09-20
1407.75,2024-09-27
1655.09,2024-10-04
1608.71,2024-10-11
1686.0,2024-10-18
1655.09,2024-10-25
1886.97,2024-11-01
2319.81,2024-11-08
2860.87,2024-11-15
2752.66,2024-11-22
1886.97,2024-11-29
943.98,2024-12-06
665.72,2024-12-13
758.48,2024-12-20
1593.25,2024-12-27
1577.79,2025-01-03
897.61,2025-01-10
851.23,2025-01-17
928.52,2025-01-24
743.02,2025-01-31
650.27,2025-02-07
572.97,2025-02-14
727.56,2025-02-21
402.93,2025-03-01
